,scientific_name,common_name
795,Silybum marianum,milk thistle
796,Ruta chalepensis,Fringed Rue
797,Asphodelus ramosus,Branched Asphodel
798,Pistacia lentiscus,mastic
799,Romulea tempskyana,
800,Ferula communis,Giant Fennel
801,Carthamus lanatus,woolly distaff thistle
802,Hypochaeris glabra,Smooth Cat's Ear
808,Anemone coronaria,poppy anemone
809,Verbascum mucronatum,
810,Verbascum sinuatum,wavyleaf mullein
811,Anagyris foetida,Bean Trefoil
812,Calendula arvensis,field marigold
813,Mandragora autumnalis,autumn mandrake
814,Carlina corymbosa,Clustered Carline-thistle
815,Asphodelus ramosus,Branched Asphodel
816,Verbascum mucronatum,
817,Ruta chalepensis,Fringed Rue
818,Oxalis pes-caprae,Bermuda buttercup
819,Erodium malacoides,Soft Stork's-bill
822,Quercus aucheri,Boz-Pirnal Oak
823,Erodium moschatum,musk stork's-bill
826,Asphodelus ramosus,Branched Asphodel
827,Hypochaeris glabra,Smooth Cat's Ear
828,Prospero autumnale,Autumn Squill
829,Cistus salviifolius,Sage-leaved Rock-rose
830,Clematis cirrhosa,Early Virgin's-bower
831,Romulea tempskyana,
832,Narcissus miniatus,
833,Erigeron bonariensis,Flax-leaved Horseweed
834,Veronica cymbalaria,Pale Speedwell
835,Narcissus miniatus,
836,Malva multiflora,Cretan Tree-mallow
837,Matricaria chamomilla,German Chamomile
838,Senecio vulgaris,common groundsel
839,Fumaria judaica,Judean Fumitory
840,Arisarum vulgare,Friar's-cowl
842,Chamaecytisus prolifer,Escabon
844,Romulea tempskyana,
845,Romulea tempskyana,
846,Glebionis coronaria,Garland Daisy
847,Echium plantagineum,purple viper's-bugloss
848,Romulea tempskyana,
849,Ipomoea purpurea,common morning-glory
851,Ricinus communis,castor bean
852,Pistacia lentiscus,mastic
853,Anemone coronaria,poppy anemone
854,Anemone coronaria,poppy anemone
855,Selaginella denticulata,Mediterranean clubmoss
856,Arisarum vulgare,Friar's-cowl
857,Erodium botrys,Mediterranean Stork's-bill
858,Tradescantia pallida,Purple heart
859,Anagyris foetida,Bean Trefoil
860,Artemisia absinthium,Wormwood
861,Arbutus unedo,strawberry tree
862,Erodium malacoides,Soft Stork's-bill
863,Cuscuta arvensis,
864,Urtica membranacea,Mediterranean Nettle
865,Laurus nobilis,Bay laurel
866,Artemisia absinthium,Wormwood
867,Eruca vesicaria,rocketsalad
869,Clematis cirrhosa,Early Virgin's-bower
